Cross Section (mm),Microcorys,,,Tamarind,,,Kumbuk,,
, 4.0m & below, 4.2m to 5.4m, 5.6 m & above, 4.0m & below, 4.2m to 5.4m, 5.6m & above, 4.0m & below, 4.2m to 5.4m, 5.6 m & above
50x75,545.67,556.48,567.84,396.86,404.71,412.91,841.02,852.57,864.12
50x100,734.72,745.95,760.78,534.30,542.39,553.36,1373.43,1384.98,1396.53
50x125,929.73,945.81,964.79,676.14,687.80,701.66,1716.78,1728.33,1739.88
50x150,1124.05,1145.81,1168.95,817.39,833.33,850.08,2060.14,2071.69,2083.24
50x175,1324.05,1356.06,1383.37,962.92,986.14,1006.01,2403.50,2415.05,2426.60
50x200,1539.85,1567.15,1598.61,1119.80,1139.75,1162.62,2746.86,2758.41,2769.96
75x100,1118.78,1140.12,1162.99,813.58,829.17,845.81,2060.14,2071.69,2083.24
75x125,1415.94,1437.14,1465.83,1029.68,1045.04,1066.07,2575.18,2586.73,2598.28
75x150,1752.60,1786.14,1821.90,1274.66,1299.03,1325.02,3090.21,3101.76,3113.31
75x175,2072.35,2105.89,2147.88,1507.04,1531.41,1562.02,3605.25,3616.80,3628.35
75x200,2397.50,2436.31,2485.10,1743.59,1771.89,1807.34,4120.29,4131.84,4143.39
100x100,1543.45,1576.30,1608.04,1122.43,1146.45,1169.44,2746.86,2758.41,2769.96
100x125,1956.75,1995.42,2035.34,1423.08,1451.14,1480.25,3433.57,3445.12,3456.67
100x150,2381.15,2414.13,2462.64,1731.69,1755.72,170.94,4120.29,4131.84,4143.39
100x175,2810.95,2860.70,2917.95,2044.23,2080.39,2122.20,4807.01,4818.56,4830.11
100x200,3257.10,3306.72,3372.97,2368.67,2404.94,2452.99,5493.71,5505.26,5516.81
50x50,259.74,259.74,265.00,188.84,188.84,192.65,587.85,599.40,610.95
25x50,81.50,81.50,83.16,59.25,59.25,60.52,230.80,241.30,252.85
