Cross Section (mm),Ebony ,,Nadun (Rs.),,Satin & Halmilla,,Teak,
,Ebony (rs.),Ebony (Length 5.6m & above)(Rs),Nadun (Rs.),Nadun (Length 5.6m & above)(Rs),Satin & Halmilla (rs.),Satin/halmilla (Length 5.6m & above)(Rs),Teak (Rs.),Teak (Length 5.6m & above)(Rs)
25* 50,261.84,267.15,199.47,203.51,117.58,119.89,181.19,191.69
50*50,513.40,523.68,467.43,467.76,231.12,235.62,1023.04,1033.54
50*100,1705.13,1739.20,1550.59,1581.43,766.69,782.05,2046.07,2056.57
50*125,2127.51,2170.13,2006.47,2046.43,981.87,1001.62,2557.59,2568.09
50*150,2554.98,2606.14,2525.64,2576.23,1236.20,1260.91,3069.11,3079.61
75*100,2554.98,2606.14,2525.64,2576.23,1236.20,1260.91,3069.11,3079.61
75*125,3257.79,3322.94,3099.33,3161.35,1520.10,1550.47,3836.40,3846.90
100*125,4340.26,4427.12,4209.63,4293.83,2063.29,2104.53,5115.19,5125.69
100*150,5207.20,5311.38,5331.71,5438.32,2613.77,3665.97,6138.23,6148.73
100*175,6074.03,6195.65,6387.15,6514.78,3131.21,3193.81,7161.26,7171.76
100*200,6940.97,7079.92,7440.74,7589.62,3647.26,3720.26,8184.30,8194.80
25*75,643.68,656.62,701.55,715.52,289.91,295.68,767.28,777.78
25*100,855.16,872.26,775.35,790.71,383.46,391.08,1023.04,1033.54
25*125,1066.53,1087.89,968.01,987.41,485.45,495.15,1278.80,1289.30
25*150,1282.74,1308.38,1163.20,1186.42,598.52,610.42,1534.55,1545.05
25*175,1494.11,1524.14,1357.13,1384.27,723.95,738.51,1790.31,1800.81
25*200,1705.13,1739.20,1550.59,1581.43,942.83,961.65,2046.07,2056.57
25*225,1921.57,1960.04,1744.28,1779.28,1103.49,1125.43,2532.02,2542.52
25*250,2170.13,2213.44,2130.28,2172.90,1412.91,1441.21,2813.35,2823.85
25*275,2390.85,2438.67,2431.39,2479.90,1612.38,1644.72,3094.69,3105.19
25*300,2606.14,2658.23,2967.08,3026.56,1967.08,2006.47,3376.02,3386.52
28*75,719.22,733.66,780.90,796.60,324.79,331.25,859.35,869.85
28*100,955.88,974.94,866.25,883.58,430.58,439.13,1145.80,1156.30
28*125,1192.31,1216.10,1083.25,1104.99,540.08,550.82,1432.25,1442.75
28*150,1433.59,1462.23,1300.07,1326.06,673.13,686.53,1718.70,1729.20
28*175,1670.13,1703.63,1521.83,1552.32,817.97,834.26,2005.15,2015.65
28*200,1911.53,1949.76,1733.08,1768.54,1064.22,1085.58,2291.60,2302.10
28*225,2147.95,2190.92,1949.64,1988.45,1240.35,1265.19,2835.86,2846.36
28*250,2431.74,2480.48,2395.47,2443.29,1588.24,1620.00,3150.96,3161.46
28*275,2678.33,2732.04,2738.74,2793.37,1815.66,1852.04,3466.05,3476.55
28*300,2919.15,2977.47,3340.49,3407.37,2214.60,2258.95,3784.14,3791.64
31*75,794.64,810.58,872.72,890.16,355.97,363.02,951.43,961.93
31*100,1061.56,1082.81,963.73,983.02,477.36,486.95,1268.57,1279.07
31*125,1322.71,1349.16,1202.93,1227.07,594.94,606.84,1585.71,1596.21
31*150,1584.54,1616.31,1436.47,1465.23,798.34,814.28,1902.85,1913.35
31*175,1846.15,1883.11,1676.25,1709.86,903.56,921.57,2219.99,2230.49
31*200,2112.61,2154.88,1915.45,1953.80,1173.71,1197.16,2537.14,2547.64
31*225,2378.95,2426.54,2160.54,2203.74,1373.06,1400.44,3139.70,3150.20
31*250,2693.58,2747.51,2747.51,2700.27,1755.72,1790.71,3488.56,3499.06
31*275,2965.23,3024.60,3024.60,3088.24,2006.93,2047.12,3837.41,3847.91
31*300,3232.15,3296.83,3296.83,3774.66,2453.91,2503.12,4186.27,4196.77
