Cross Section (mm),Jak ,,Mahogany,,Sp. Class Upper,,Kumbuk,,Milla,,Del,,Class 1,,Class 1 (Other),,Grandis,,Class 11,,Ginipus,,Cypress,,Pinus,,Class 111,,Microcorys,,Tamarind,
, (rs.), (Length 5.6m & above)(Rs), (Rs.), (Length 5.6m & above)(Rs), (rs.), (Length 5.6m & above)(Rs),  (Rs.), (Length 5.6m & above)(Rs),(Rs.), (Length 5.6m & above)(Rs), (rs.), (Length 5.6m & above)(Rs), (Rs.), (Length 5.6m & above)(Rs), (rs.), (Length 5.6m & above)(Rs),  (Rs.), (Length 5.6m & above)(Rs), (rs.), (Length 5.6m & above)(Rs), (Rs.),5.6m&above, (Rs.), (Length 5.6m & above)(Rs),  (Rs.), (Length 5.6m & above)(Rs),(Rs.),5.6m&above, (rs.), (Length 5.6m & above)(Rs), (Rs.), (Length 5.6m & above)(Rs)
25x100,413.47,421.86,263.80,269.00,203.74,207.78,616.75,629.46,284.76,290.54,159.97,163.32,191.97,195.91,174.52,178.10,188.50,192.52,103.60,105.68,154.26,157.40,150.23,159.01,148.71,156.14,61.56,62.83,262.23,267.64,183.41,187.11
25x125,536.35,547.18,341.53,348.46,264.73,270.04,900.61,13.31,369.39,376.85,202.82,206.98,243.43,248.38,221.30,225.80,234.23,239.09,125.90,128.44,187.46,191.26,188.84,199.08,185.90,195.19,78.19,79.70,333.06,339.85,232.85,237.58
25x150,672.50,685.92,429.78,438.21,328.94,335.41,1080.73,1093.43,463.16,472.40,246.02,250.87,295.26,300.98,268.42,273.62,288.15,294.11,156.39,159.62,232.88,237.67,226.76,239.43,223.09,234.24,95.29,97.25,404.02,412.20,282.51,288.17
25x175,813.22,829.69,517.44,527.84,401.71,409.79,1260.84,1273.55,560.07,571.41,289.21,294.99,347.10,353.96,315.55,321.78,342.20,348.99,187.46,191.15,279.13,284.74,271.81,277.17,260.22,273.24,109.26,111.46,478.72,488.29,334.72,341.42
25x200,1059.29,1080.48,673.13,686.65,523.91,534.53,1440.98,1453.68,729.54,744.14,335.30,342.11,402.37,410.50,365.79,373.18,395.84,403.74,215.29,219.57,320.75,327.03,312.17,318.37,297.41,312.28,125.90,128.44,553.71,564.80,387.16,394.89
25x225,1239.80,1264.50,787.94,803.88,614.00,626.36,1864.26,1876.96,853.86,870.87,381.50,389.12,457.76,466.91,416.15,424.46,445.60,454.61,245.90,250.87,366.34,373.77,365.55,363.76,334.60,351.33,142.53,145.41,632.99,645.74,442.60,451.49
25x250,1587.57,1619.43,1003.58,1023.68,789.67,805.50,2071.40,2084.10,1093.37,1115.31,436.13,444.91,523.32,533.86,475.74,485.33,509.63,519.89,282.40,288.06,420.68,429.10,409.48,417.68,371.79,390.38,156.85,159.97,725.99,740.40,507.62,517.67
25x275,1811.68,1847.82,1148.42,1171.40,902.75,920.77,2278.53,2291.23,1247.72,1257.60,486.14,495.96,583.41,595.10,530.38,541.00,572.14,583.51,313.58,319.82,467.09,476.34,454.69,463.74,408.87,429.31,173.83,177.29,806.79,822.87,564.10,575.42
25x300,2210.37,2254.73,1400.09,1428.27,1107.41,1129.59,2485.67,2498.37,1522.29,1552.85,536.15,546.89,643.38,656.21,584.89,596.56,635.20,647.68,347.77,354.70,518.12,528.36,504.27,514.32,446.12,468.42,193.81,197.74,895.77,913.65,626.36,638.83
